Zeit;Kopftemperatur des Prüflings;"Drosseltemp. 0,42mH ""Eisen"" Prüfling";"Drosseltemp. 0,41mH ""Eisen"" Belastungsmaschine";Unwucht (seitlich am Spindelkopf gemessen)
[min];[°C];[°C];[°C];
0;30;24;26;0,14
2;30;25;26;0,15
4;30;25;26;0,15
6;30;25;26;0,15
8;31;25;26;0,16
10;31;45;26;0,16
12;31;26;27;0,16
14;31;27;27;0,17
16;31;27;27;0,16
18;32;27;27;0,17
20;32;28;28;0,17
22;32;28;28;0,17
24;32;29;28;0,18
26;32;29;28;0,18
28;32;30;29;0,18
30;32;31;29;0,18
32;32;31;29;0,18
34;32;32;30;0,18
36;33;32;36;0,18
