X_(ms),SERVO_03.r35:_Motortemperatur_PT1000,SERVO_03.r63:_Drehzahlistwert_geglättet,SERVO_03.r76:_Stromistwert_feldbildend,SERVO_03.r78[1]:_Stromistwert_momentenbildend._Geglättet_mit_p0045,SERVO_03.r72:_Ausgangsspannung,Drehzahl_>_0_(Siemens),TM150_04.r4105[1]:_TM150_Temperaturistwert._Temperaturkanal_1_KTY,Channel_1-Vor_Kühlwasser_PT100_an_Muffe,Channel_2-Ruek_Kühlwasser_PT100_an_Muffe,Drehzahl_>_0_(PT104),RotorTemp,Channel_3-Rot_RotorTemp_(Wert_/_0.0125_=_°C),Control_Unit.r747:_CU_Digitalausgänge_Status_Drehzahl_>_0,Channel_4_ON_wenn_>_700_dann_Drehzahl_>_0
0,22.68277359,-0.00089407,0.000943477,-0.001957253,0.267992496,0,22.79999924,23.177,23.299,0,22.284,0.27855,0,499.14743
1000,22.71794319,-0.002458691,-0.028424654,-9.93302E-05,0.479685456,0,23,23.194,23.307,0,22.284,0.27855,0,499.14743
2000,22.74137497,0.001341104,0.02276375,-0.001150437,0.214430481,0,23,23.194,23.307,0,22.3792,0.27974,0,499.14743
3000,22.70289421,-0.000782311,-0.000925402,0.009275654,0.496323109,0,23,23.209,23.307,0,22.3792,0.27974,0,499.16251
4000,22.67864609,0.002346933,-0.004250631,0.00230843,0.31987232,0,23.10000038,23.209,23.312,0,22.3792,0.27974,0,499.16251
5000,22.69998932,500.0315552,-0.600276291,1.193775296,414.1877747,10,22.79999924,23.209,23.312,10,22.2528,0.27816,4096,700.17542
6000,22.71524429,500.0406189,-0.590215087,1.165243506,415.7619934,10,22.89999962,23.212,23.312,10,22.2528,0.27816,4096,700.17542
7000,22.79256439,500.0832825,-0.652547836,1.153297782,414.4453125,10,22.89999962,23.212,23.317,10,22.4216,0.28027,4096,700.17542
8000,22.85931778,500.1102295,-0.596536636,1.214518189,413.7584839,10,22.89999962,23.212,23.317,10,22.4216,0.28027,4096,700.16479
9000,22.76219368,500.0831909,-0.515546143,1.316392541,413.0834961,10,22.89999962,23.246,23.32,10,22.4216,0.28027,4096,700.16479
10000,22.68721008,500.0315552,-0.59786284,1.204163074,414.8727722,10,22.89999962,23.246,23.32,10,22.3432,0.27929,4096,700.16479
11000,22.91873932,500.0016479,-0.622095227,1.198545218,415.7497253,10,22.89999962,23.25,23.32,10,22.3432,0.27929,4096,700.17035
12000,22.84055519,499.9855042,-0.568546891,1.252246976,414.3782043,10,22.89999962,23.25,23.33,10,22.3432,0.27929,4096,700.17035
13000,22.60548401,500.1129456,-0.593144953,1.200082541,413.6387939,10,22.89999962,23.25,23.33,10,22.3168,0.27896,4096,700.1593
14000,22.93446159,499.9697571,-0.583943307,1.199136019,415.3613586,10,22.89999962,23.267,23.33,10,22.3168,0.27896,4096,700.15747
15000,22.90570641,500.1051025,-0.553590655,1.273007035,412.9864197,10,22.89999962,23.267,23.336,10,22.5344,0.28168,4096,700.15747
16000,22.77294731,500.0365906,-0.567218363,1.296133876,413.972229,10,22.89999962,23.267,23.336,10,22.5784,0.28223,4096,700.17096
17000,22.87729263,500.0546875,-0.602317333,1.186860085,415.1754456,10,22.89999962,23.277,23.335,10,22.5784,0.28223,4096,700.17096
18000,22.84409904,500.08255,-0.580808997,1.162810564,413.6697693,10,22.89999962,23.277,23.335,10,22.4856,0.28107,4096,700.17096
19000,22.88118744,499.9660034,-0.565795839,1.234285235,413.0735474,10,22.89999962,23.282,23.335,10,22.4856,0.28107,4096,700.19324
20000,22.82786179,500.0924377,-0.617165208,1.205972672,412.8100891,10,22.89999962,23.291,23.354,10,22.4856,0.28107,4096,700.19324
21000,22.94311905,500.0015259,-0.558775485,1.215916634,415.0623169,10,22.89999962,23.291,23.354,10,22.6312,0.28289,4096,700.18634
22000,22.96503258,500.0310974,-0.601368487,1.270890355,413.5956116,10,22.89999962,23.299,23.354,10,22.6312,0.28289,4096,700.16907
23000,23.0299015,499.9855042,-0.578835428,1.192801595,417.1434937,10,22.89999962,23.299,23.37,10,22.6312,0.28289,4096,700.16907
24000,23.02577972,500.0473022,-0.464519918,1.208986998,413.8482666,10,22.89999962,23.299,23.37,10,22.7144,0.28393,4096,700.15808
25000,23.04485703,500.069458,-0.588245809,1.221762061,412.7120361,10,23,23.314,23.37,10,22.7144,0.28393,4096,700.15808
26000,23.03556824,500.0561829,-0.622565448,1.270601749,411.9990234,10,23,23.314,23.378,10,22.7464,0.28433,4096,700.15808
27000,23.06330299,499.9423523,-0.575292051,1.311645985,415.5658264,10,23,23.314,23.378,10,22.7464,0.28433,4096,700.16992
28000,23.39731979,500.0810547,-0.626387477,1.184273362,412.5357361,10,23,23.334,23.373,10,22.7464,0.28433,4096,700.16992
29000,23.02010345,500.1098938,-0.658542454,1.202508211,413.5018616,10,23,23.334,23.373,10,22.7576,0.28447,4096,700.16992
30000,23.06407738,500.0046082,-0.62356776,1.198023438,413.2569275,10,23,23.347,23.373,10,22.7576,0.28447,4096,700.16608
31000,23.10470963,500.0278931,-0.567185879,1.117552638,413.8529968,10,23,23.347,23.386,10,22.7576,0.28447,4096,700.16608
32000,23.11428452,500.1176147,-0.613168299,1.211355329,412.1562805,10,23,23.347,23.386,10,22.6352,0.28294,4096,700.21008
33000,23.28608513,500.074707,-0.628228366,1.266652465,412.1069336,10,23,23.357,23.386,10,22.6352,0.28294,4096,700.21008
34000,23.1744442,500.0588684,-0.593523443,1.195396304,413.794281,10,23,23.357,23.407,10,22.8072,0.28509,4096,700.21008
35000,23.2509861,499.9904175,-0.657993615,1.259816527,414.3331604,10,23,23.357,23.407,10,22.8072,0.28509,4096,700.16034
36000,23.33716774,499.9880676,-0.514529943,1.220533371,412.9613037,10,23,23.367,23.41,10,22.8072,0.28509,4096,700.16034
37000,23.28208733,500.0675659,-0.602476776,1.238011956,413.0348206,10,23,23.367,23.41,10,22.7896,0.28487,4096,700.16034
38000,23.37158394,499.9755554,-0.633334875,1.187682867,414.5958252,10,23,23.384,23.41,10,22.7896,0.28487,4096,700.15771
39000,23.30786896,500.0617065,-0.57657063,1.229008436,413.9512939,10,23,23.384,23.432,10,22.7896,0.28487,4096,700.15771
40000,23.42241287,500.0391846,-0.610320508,1.197816849,412.918396,10,23.10000038,23.384,23.432,10,22.9008,0.28626,4096,700.18207
41000,23.43776321,500.1043091,-0.684223354,1.195424795,412.5726318,10,23.10000038,23.392,23.432,10,22.9008,0.28626,4096,700.18207
42000,23.524086,500.0552673,-0.617522001,1.191037774,413.2441101,10,23.10000038,23.392,23.439,10,23.1248,0.28906,4096,700.18207
43000,23.28536987,500.1349487,-0.563114107,1.256417036,410.9182434,10,23.10000038,23.392,23.439,10,23.1248,0.28906,4096,700.15198
44000,23.4065361,500.0031738,-0.581460476,1.230011702,413.085022,10,23.10000038,23.408,23.455,10,23.1248,0.28906,4096,700.15198
45000,23.58344841,500.0654297,-0.553211749,1.234278917,413.0223389,10,23.10000038,23.408,23.455,10,23.0024,0.28753,4096,700.15198
46000,23.48866081,500.0050659,-0.545908391,1.217154264,414.1947021,10,23.10000038,23.417,23.455,10,23.0024,0.28753,4096,700.18738
47000,23.5655899,499.9586182,-0.624952853,1.198049307,414.1820984,10,23.10000038,23.417,23.457,10,23.0024,0.28753,4096,700.18738
48000,23.54986382,499.9587402,-0.570391834,1.207426429,414.6473083,10,23.10000038,23.417,23.457,10,23.1648,0.28956,4096,700.16156
49000,23.58887482,500.0266418,-0.557820201,1.242976665,412.6381836,10,23.10000038,23.426,23.457,10,23.1648,0.28956,4096,700.16156
50000,23.57114792,500.0072937,-0.544424176,1.260874748,412.4704895,10,23.10000038,23.426,23.475,10,23.1864,0.28983,4096,700.16156
51000,23.54470634,500.0378113,-0.546851873,1.215991735,412.29776,10,23.10000038,23.426,23.475,10,23.1904,0.28988,4096,700.15649
52000,23.64977074,499.9536743,-0.576290011,1.206859827,413.6142883,10,23.20000076,23.433,23.477,10,23.1904,0.28988,4096,700.15649
53000,23.71021843,500.1114502,-0.608852148,1.218551159,411.7523804,10,23.20000076,23.433,23.479,10,23.2808,0.29101,4096,700.15649
54000,23.73545647,500.1125793,-0.54025948,1.277301073,412.7863464,10,23.20000076,23.444,23.479,10,23.2808,0.29101,4096,700.159
55000,23.73288918,500.0352173,-0.579422355,1.203292251,411.5446472,10,23.20000076,23.458,23.499,10,23.2808,0.29101,4096,700.159
56000,23.70908737,500.0452881,-0.589227915,1.259145498,412.6002502,10,23.20000076,23.458,23.499,10,23.3352,0.29169,4096,700.16101
57000,23.7965889,499.9768066,-0.564603806,1.279576898,413.5737,10,23.29999924,23.469,23.499,10,23.3352,0.29169,4096,700.1709
58000,23.88380623,500.00177,-0.618131757,1.087332487,414.9646912,10,23.29999924,23.469,23.503,10,23.3352,0.29169,4096,700.1709
59000,23.94408035,500.0066223,-0.546940863,1.254513502,413.9027405,10,23.29999924,23.469,23.503,10,23.4368,0.29296,4096,700.16376
60000,23.87921524,500.0545654,-0.474944144,1.331472158,411.8209534,10,23.29999924,23.469,23.503,10,23.4368,0.29296,4096,700.16376
61000,23.95968437,500.0239563,-0.453366786,1.231831908,411.5014648,10,23.29999924,23.469,23.521,10,23.5752,0.29469,4096,700.16376
62000,23.94220543,500.0912476,-0.534008801,1.272811413,411.640625,10,23.29999924,23.469,23.521,10,23.5752,0.29469,4096,700.15472
63000,24.00260353,500.1057739,-0.419329017,1.280880928,412.2252502,10,23.29999924,23.476,23.53,10,23.5752,0.29469,4096,700.15472
64000,23.98498154,500.1383972,-0.478665799,1.275942326,410.6411438,10,23.29999924,23.476,23.53,10,23.6008,0.29501,4096,700.15472
